DATASET RH - 20 FICHES DE POSTE,,,,,,,,,,
,,,,,,,,,,
N°,Catégorie,Titre,Relations fonctionnelles,Relations externes,Supérieur hiérarchique,Il est remplacé par,TÂCHES ET RESPONSABILITÉS :,Formation Initiale et Professionnelle :,Expérience et Savoir-faire :,Fichier
1, Bibliothèque,Responsable de la bibliothèque,"Enseignants, étudiants",Non spécifié,SG,Chargé du prêt bibliothèque,"-Veiller au bon fonctionnement quotidien, à l’organisation des espaces et à la gestion des collections
-Veiller à l’efficacité des prêts et retours des ouvrages, à la gestion des demandes de prolongation, des réservations de documents, des réclamations et besoins spécifiques des usagers
-Accompagner les étudiants et les enseignants dans l’utilisation des ressources disponibles et des outils numériques (plateforme Biruni.tn, etc.)
-Encadrer et coordonner le travail du personnel de la bibliothèque, assurer leur formation continue et leur évaluation
-Veiller à la sécurité des documents, des équipements et des usagers, notamment en cas de crise ou d’incident
-Assurer le recensement régulier et systématique de l’ensemble des ressources documentaires de la bibliothèque
-Veiller à l’amélioration continue pour optimiser les services'",Maîtrise / licence / Mastère ou équivalent,"- Maîtrise des systèmes de gestion documentaire.
-Compétence en acquisition et gestion des ressources.
-Sens de l’organisation.
-Aptitude à l’accueil et à l’orientation des usagers.
-Encadrement d’équipe.
-Connaissance des normes de conservation et de sécurité des ouvrages.
-Rigueur dans le suivi des inventaires.
-Adaptabilité technologique.
-Communication et travail collaboratif.
-Connaissance de la prise en charge des apprenants à besoins spécifiques (handicap, difficultés d’apprentissage, situations particulières).'",IND-PGV-045-FP Responsable Bib (Karima).docx
2,Logistique,Chauffeur,-,-,Secrétaire Général,NA,"- Assurer le transport du personnel et des étudiants selon les besoins de l’établissement
- Effectuer les courses administratives et logistiques pour les différents services
- Garantir la sécurité et le confort des passagers durant les trajets
- Veiller au bon état du véhicule (entretien, nettoyage, contrôles techniques réguliers)
- Respecter les horaires et les itinéraires définis
- Informer la direction en cas de panne, accident ou anomalie liée au véhicule
- Assurer la mise à jour des documents du véhicule (carnet d’entretien, assurance, etc.)
- Réaliser les déplacements liés aux événements, conférences et sorties organisées
- Respecter le code de la route et la réglementation en vigueur
- Gérer les tâches administratives liées au transport (réservations, planification, rapports de déplacements)
- Participer au transport du matériel et des équipements nécessaires lors des déplacements
- Contribuer à l’amélioration continue de la qualité des prestations'",-,"- Expérience de conduite
- Connaissance des itinéraires
- Conduite sécuritaire
- Organisation
- Réactivité
- Discrétion
- Autonomie
- Connaissance de la prise en charge des apprenants à besoins spécifiques (handicap, difficultés d’apprentissage, situations particulières)'",IND-PGV-028-FP Chauffeur (Mohamed).docx
3,Services Généraux,Agent de tirage,Les enseignants,-,Secrétaire général,-,"- Veiller au bon fonctionnement des imprimantes, photocopieuses et autres équipements de reproduction
- Préparer, imprimer et distribuer les documents nécessaires (supports pédagogiques, examens, documents administratifs)
- Assurer le contrôle régulier des équipements et signaler les pannes ou effectuer des réparations de base
- Assurer l’approvisionnement en papier, encre et consommables
- Participer à l’archivage et au stockage des documents imprimés ou photocopiés
- Garantir le respect des délais d’impression
- Gérer les demandes d’impression et tenir un registre des impressions
- Assurer la sécurité des documents confidentiels
- Optimiser la consommation de papier, encre et énergie selon une gestion durable
- Participation au dispositif qualité (accueil, prestation)
- Amélioration continue de la qualité de la prestation'",-,"- Langue française
- Langue arabe
- Vigilance
- Lucidité
- Autonomie
- Anticipation",IND-PGV-055-FP Tirage (Amir).docx
4,Administration,Secrétaire du secrétaire général,Secrétaire général,-,Secrétaire général,NA,"- Accueil téléphonique
- Gestion des appels téléphoniques
- Transmission interne et externe d’informations fiables, claires et rapides
- Gestion des urgences et coordination avec les équipes appropriées (sécurité, soins médicaux, etc.)
- Garantir la confidentialité des informations personnelles et professionnelles
- Participation au dispositif qualité (accueil, prestations)
- Amélioration continue de la qualité de la prestation'",-,"- Langue arabe
- Langue française
- Accueil
- Téléphonie
- Communication
- Sang-froid
- Sens du service
- Orientation
- Discrétion
- Priorisation
- Connaissance de la prise en charge des apprenants à besoins spécifiques'",IND-PGV-052-FP SecretaireSecG (Soufia).docx
5, Sécurité,Agent de sécurité,-,-,Secrétaire Général,Agent de sécurité,"Assure la sécurité des locaux, des biens et des personnes au sein de l’établissement.
-Veille au bien-être de toutes les personnes présentes et garantit un accueil de qualité.
-Réagit face aux comportements suspects ou délictueux.
-Responsable de l’ouverture et de la fermeture des locaux (portes principales, salles d’enseignement, etc.).
-Veille au respect du règlement intérieur lors des activités et animations.
-Contribue à l’amélioration continue de la qualité des services rendus.'",enseignement de base ,"-Vigilance
-Lucidité
-Autonomie
-Anticipation
-Connaissance de la prise en charge des apprenants à besoins spécifiques (handicap, difficultés d’apprentissage, situations particulières).'",IND-PGV-021-FP agents de sécurité.docx
6,Pédagogie,Chargé de la pédagogie,"Les directeurs de départements, les enseignants, directeur des études, les étudiants",-,"Secrétaire principal,  Secrétaire général",NA,"- Réception des demandes de badges d’accès aux locaux de l’établissement
- Transmission des demandes de badges au chargé administratif de scolarité et examens
- Réception des fiches de vœux des enseignants
- Réception des répartitions des enseignements
- Elaborer les emplois du temps en coordination avec la direction des études et les directeurs de départements
- Réception des autorisations d’absences et planification des séances de rattrapage
- Notification et suivie des retards, absences, rattrapages, absences collectives, DS, etc.
- Elaborer les rapports d’absentéisme aux responsables pédagogiques, aux services administratifs, et aux autorités compétentes si besoin
- Participation au bon déroulement des examens (suivi des retards et d’absentéismes)
- Participation active dans la mise en place et le maintien du dispositif qualité (accueil, prestation)
- Participer activement à la mise en place et au maintien du dispositif qualité'",Maîtrise / licence / Mastère en gestion ou équivalent,"- Langue française
- Maîtrise des outils de planification
- Capacité d'organisation
- Réactivité face aux changements
- Analyse des données et production de rapports statistiques
- Aisance relationnelle
- Connaissance des règles pédagogiques
- Discrétion et confidentialité
- Gestion des priorités
- Précision dans la rédaction et la transmission des informations
- - Connaissance de la prise en charge des apprenants à besoins spécifiques (handicap, difficultés d’apprentissage, situations particulières)'",IND-PGV-041-FP CHARGÉ PÉDAGOGIE (Faiza K.).docx
7,Scolarité,Responsable Service Scolarité,"Les directeurs de départements, les enseignants, directeur des études, les étudiants","Les parents, fournisseurs des besoins logistiques",Secrétaire Général,NA,"- Manager l’équipe du service de scolarité (Chargés administratifs de scolarité et examens, chargés de la scolarité et de la logistique pédagogique, chargé d’emploi et de la présence)
- Former l’équipe du service de scolarité à l’usage des plateformes de gestion des notes et les systèmes de gestion de scolarité
- Assurer l’accès aux systèmes de gestion de scolarité et aux plateformes de gestion des notes
- Etablir le besoin du service scolarité en termes d’équipement, licences et fournitures bureautiques
- Superviser l’ensemble des opérations liées à l’admission et l’inscription des étudiants (ouverture/ fermeture du site d’inscription, préparation des dossiers étudiants, planification logistique, répartition des groupes des étudiants, etc.)
- Planifier, coordonner et assurer le bon déroulement des sessions d'examens (élaboration des plannings, convocations, logistique des salles, surveillance, compostage, remise de notes, préparation des procès-verbaux, sessions de rattrapage, etc.)
- Analyser les données de la vie académique et préparer les rapports demandés par la direction ou les autorités de tutelles
- Répondre aux requêtes concernant l’authenticité, la conformité et la vérification des diplômes délivrés par l’établissement, en lien avec les services compétents
- Veiller à l’application des textes réglementaires dans l’ensemble des procédures liées à la scolarité et aux examens
- Contribuer à l’évolution des procédures internes, à la qualité de service'",Maîtrise / licence / Mastère ou équivalent,"- Langue française
- Maîtrise des processus administratifs de la scolarité
- Compétence en gestion des examens
- Connaissance des outils numériques et logiciels de gestion académique
- Gestion des équipes administratives
- Rigueur administrative
- Communication
- Analyse et reporting des données académiques
- Gestion des priorités
- Connaissance de la prise en charge des apprenants à besoins spécifiques (handicap, difficultés d’apprentissage, situations particulières)'",IND-PGV-047-FP Responsable services scolarité et examens (Amine Maalej).docx
8,Services Généraux,Agent de propreté ,-,-,Secrétaire Général,Agent de service,"- Accueil téléphonique
- Gestion des appels téléphoniques
- Transmission interne et externe d’informations fiables, claires et rapides
- Gestion des urgences et coordination avec les équipes appropriées (sécurité, soins médicaux, etc.)
- Garantir la confidentialité des informations personnelles et professionnelles
- Participation au dispositif qualité (accueil, prestations)
- Amélioration continue de la qualité de la prestation
",enseignement de base ,"- Langue arabe
- Langue française
- Accueil
- Téléphonie
- Communication
- Sang-froid
- Sens du service
- Orientation
- Discrétion
- Priorisation
- Connaissance de la prise en charge des apprenants à besoins spécifiques",IND-PGV-022-FP agents services (femmes de ménage).docx
9,Administration,Secrétaire de la direction,Direction,-,Directeur,NA,"-Assurer la gestion des courriers (réception, tri, diffusion et archivage),
-Rédiger et mettre en forme des documents officiels (rapports, notes, comptes rendus, emails), 
-Organiser et classer les dossiers administratifs,   
-Assurer le suivi des demandes et des décisions prises par la direction, 
-Gestion de l’agenda et des réunions, 
-Accueil et communication, 
-Gestion des documents et suivi des dossiers, 
-Coordination avec les services internes et externes '",bac+3,"- Compétences organisationnelles et gestion du temps, 
- Maîtrise des outils informatiques et de gestion,
- Compétences en rédaction et communication,
- Diplomatie et bienveillance, 
- Autonomie
- Connaissance de la prise en charge des apprenants à besoins spécifiques (handicap, difficultés d’apprentissage, situations particulières)'",IND-PGV-051-FP SecretaireDir (Lobna).docx
10,Pédagogie/Scolarité,Chargé administratif de scolarité et examens,"Les directeurs de départements, les enseignants, directeur des études, les étudiants","Les parents, fournisseurs des besoins logistiques","Responsable Service Scolarité, Secrétaire principal,  Secrétaire général",Chargé administratif de scolarité et examens,"-Gestion des dossiers d’admission, d’inscription et de réinscription 
-Saisir et mettre à jour les données des étudiants dans les plateformes de gestion des notes et les systèmes de gestion de scolarité (inscriptions, changements de parcours, certificats, notes examens, etc.) 
- Accompagner les étudiants dans leurs démarches administratives 
- Préparation des listes des groupes des étudiants, des procès-verbaux, des relevés de notes, attestations de réussite, certificats de scolarité, cartes étudiantes, etc. 
-Participer à la logistique des sessions d’examens (préparation des convocations, tirage des examens, listes d’émargements, numéros secrets, etc.) 
-Remise des copies aux enseignants et réception des notes
-Veiller à la confidentialité des informations traitées
-Vérifier l’authenticité et la conformité des diplômes délivrés par l’établissement, en lien avec les services compétents
-Participer activement à la qualité d’accueil et de service
-Appliquer les procédures et contribuer à leur amélioration continue'",Maîtrise / licence / Mastère ou équivalent,"-Langue française
-Connaissance des procédures de scolarité.
-Maîtrise des outils bureautiques.
-Utilisation des plateformes de gestion académique.
-Organisation et rigueur.
-Capacité à travailler en équipe.
-Sens de l’accueil et de la communication.
-Discrétion professionnelle.
-Réactivité et polyvalence.'",IND-PGV-023-FP Chargé admission et inscription (Abdelhamid+ Jallel).docx
